Frequency[Hz],S11/dB,S11/phase[deg],S11/unwrapped_phase[deg],,,,
2685105000,-8.383810875,-31.51557531,-2191.515575,,,,
2700100000,-8.412459982,-37.94967629,-2197.949676,,,,
2715095000,-7.436752293,-59.53363535,-2219.533635,,,,
2730090000,-7.832776336,-43.71161779,-2203.711618,,,,
2745085000,-5.442837732,-69.77852484,-2229.778525,,,,
2760080000,-10.8019699,-100.5094706,-2260.509471,,,,
2775075000,-12.36089572,-90.86413865,-2250.864139,,,,
2790070000,-1.940127982,-96.96592624,-2256.965926,,,,
2805065000,-5.914483795,-96.11655282,-2256.116553,,,,
2820060000,-9.807942882,-117.7816556,-2277.781656,,,,
2835055000,-8.831374828,-138.8199129,-2298.819913,,,,
2850050000,-5.224214712,-157.5852153,-2317.585215,,,,
2865045000,-9.104587066,-150.2562429,-2310.256243,,,,
2880040000,-8.207352917,-173.9796984,-2333.979698,,,,
2895035000,-7.33326781,-176.2111966,-2336.211197,,,,
2910030000,-6.627783648,-172.3729011,-2332.372901,,,,
2925025000,-7.950482404,161.3761017,-2358.623898,,,,
2940020000,-8.603916247,132.4281074,-2387.571893,,,,
2955015000,-7.571099509,123.6871186,-2396.312881,,,,
2970010000,-4.440466211,114.1076597,-2405.89234,,,,
2985005000,-8.137086403,59.26343816,-2460.736562,,,,
3000000000,-6.821581562,77.79184094,-2442.208159,,,,
