Frequency[Hz],S11/dB,S11/phase[deg],S11/unwrapped_phase[deg],,,,,
2074935323,-26.77202381,-108.8439467,-828.8439467,,,,,
2089855721,-23.1973079,-110.0004931,-830.0004931,,,,,
2104776119,-24.09388943,-133.5462343,-853.5462343,,,,,
2119696517,-23.13998106,-109.5236434,-829.5236434,,,,,
2134616915,-25.03365864,-135.4041794,-855.4041794,,,,,
2149537313,-26.23531593,-132.3423927,-852.3423927,,,,,
2164457711,-25.41818577,-152.7440377,-872.7440377,,,,,
2179378109,-25.27456704,-164.5080866,-884.5080866,,,,,
2194298507,-23.06828263,-166.2778858,-886.2778858,,,,,
2209218905,-21.58389928,-174.5153141,-894.5153141,,,,,
2224139303,-23.18594364,-170.1329773,-890.1329773,,,,,
2239059701,-20.60998329,-162.4430499,-882.4430499,,,,,
2253980099,-22.89081145,178.2655321,-901.7344679,,,,,
2268900497,-22.41705641,-164.6775744,-884.6775744,,,,,
2283820895,-24.39266938,172.6136298,-907.3863702,,,,,
2298741293,-24.6521962,176.5367904,-903.4632096,,,,,
2313661691,-24.68309209,155.3534256,-924.6465744,,,,,
2328582089,-25.01178133,139.0452088,-940.9547912,,,,,
2343502487,-22.62035666,147.234592,-932.765408,,,,,
2358422885,-21.464125,139.9157168,-940.0842832,,,,,
2373343283,-22.39839217,157.778402,-922.221598,,,,,
2388263681,-22.14234664,134.1684596,-945.8315404,,,,,
2403184079,-23.98612095,150.3343982,-929.6656018,,,,,
2418104477,-23.6839734,131.7625894,-948.2374106,,,,,
2433024875,-25.70606362,116.1977871,-963.8022129,,,,,
2447945273,-25.59194105,126.1339215,-953.8660785,,,,,
2462865671,-22.8661401,105.9222879,-974.0777121,,,,,
2477786069,-24.05785021,103.2881188,-976.7118812,,,,,
2492706467,-19.9259175,93.78472127,-986.2152787,,,,,
2507626865,-21.45473882,94.32107413,-985.6789259,,,,,
2522547263,-19.66106477,109.7803002,-970.2196998,,,,,
2537467661,-19.49751923,94.15008412,-985.8499159,,,,,
2552388059,-19.59584625,85.96644737,-994.0335526,,,,,
2567308457,-20.68582571,92.89831314,-987.1016869,,,,,
2582228855,-19.35482622,85.96311484,-994.0368852,,,,,
2597149253,-19.44319297,83.69038856,-996.3096114,,,,,
2612069651,-21.16363394,91.97503913,-988.0249609,,,,,
2626990049,-20.9619161,65.36780572,-1014.632194,,,,,
2641910447,-17.95714624,72.55836643,-1007.441634,,,,,
2656830845,-15.1275243,57.72721056,-1022.272789,,,,,
2671751243,-17.43735852,39.88671954,-1040.11328,,,,,
2686671641,-9.995529672,91.30723243,-988.6927676,,,,,
2701592039,-29.39358921,-104.2306275,-824.2306275,,,,,
2716512437,-15.22704455,-37.67144148,-757.6714415,,,,,
2731432835,-19.82500556,84.6371024,-635.3628976,,,,,
2746353233,-20.43658062,51.69414008,-668.3058599,,,,,
2761273631,-22.25390419,86.73572425,-633.2642757,,,,,
2776194029,-12.18454859,66.97319874,-653.0268013,,,,,
2791114427,-16.33888249,28.78362374,-691.2163763,,,,,
2806034825,-13.00346855,64.76041355,-655.2395864,,,,,
2820955223,-21.96584319,29.46672846,-690.5332715,,,,,
2835875621,-14.50980869,6.268254685,-713.7317453,,,,,
2850796019,-14.28991088,-12.94906652,-732.9490665,,,,,
2865716417,-12.79274588,16.67785844,-703.3221416,,,,,
2880636815,-12.78007901,9.912801911,-710.0871981,,,,,
2895557213,-13.77624446,27.91754232,-692.0824577,,,,,
2910477611,-12.15075643,13.79410199,-706.205898,,,,,
2925398009,-9.337885891,16.37601215,-703.6239879,,,,,
2940318407,-8.185929941,-0.833825342,-720.8338253,,,,,
2955238805,-12.09771285,24.68941128,-695.3105887,,,,,
2970159203,-10.53347303,13.66057057,-706.3394294,,,,,
2985079601,-11.55605823,-51.24441167,-771.2444117,,,,,
3000000000,-8.601325991,-12.69999209,-732.6999921,,,,,
