Frequency[Hz],S11/dB,S11/phase[deg],S11/unwrapped_phase[deg]
936688000,-9.797221998983916,-133.83008400437976,-493.8300840043797
942686000,-9.480639654211817,-137.21437536368273,-497.21437536368273
948684000,-9.871433092272957,-144.63924372485457,-504.63924372485457
954682000,-9.794383447205963,-145.7521670219848,-505.7521670219848
960680000,-9.473213046690097,-149.62898177605555,-509.6289817760555
966678000,-9.909026611915127,-154.39076962433157,-514.3907696243316
972676000,-9.722487119055412,-157.57743444392585,-517.5774344439259
978674000,-9.651309231441749,-160.62245837595162,-520.6224583759516
984672000,-9.801471718880466,-161.62036744433874,-521.6203674443387
990670000,-9.693413172340357,-167.33035108079528,-527.3303510807953
996668000,-9.393126351308872,-167.27458667196933,-527.2745866719694
1002666000,-10.140560012090878,-173.02153732725432,-533.0215373272544
1008664000,-10.00488982887666,-175.11050371729,-535.1105037172899
1014662000,-10.256467242634892,176.39930490133756,-543.6006950986624
1020660000,-10.302256932264156,-179.10282223972865,-539.1028222397287
1026658000,-10.181037671402049,171.22184555920205,-548.778154440798
1032656000,-10.299927476546396,166.966515303941,-553.033484696059
1038654000,-9.978421587741758,170.5582950229212,-549.4417049770789
1044652000,-10.243565013710484,159.42371012959612,-560.5762898704039
1050650000,-9.789106140993253,160.5921883301134,-559.4078116698865
1056648000,-10.029656317937476,155.5820669024004,-564.4179330975996
1062646000,-9.978845006383114,152.2083393386534,-567.7916606613467
1068644000,-9.094007883877289,150.6364850521328,-569.3635149478672
1074642000,-10.12689346980757,149.28360148929397,-570.7163985107061
1080640000,-8.829803537566992,146.2611239946262,-573.7388760053739
1086638000,-9.805949328444859,142.73085407352062,-577.2691459264794
1092636000,-9.183993806400004,141.01240237261334,-578.9875976273867
1098634000,-9.772334941157274,134.0079019773103,-585.9920980226897
1104632000,-9.291673271450229,136.53836867305847,-583.4616313269415
1110630000,-10.089953526256703,132.7880359312759,-587.2119640687241
1116628000,-9.924355086664994,129.68134687338855,-590.3186531266115
1122626000,-9.485302340011174,129.34164460681345,-590.6583553931865
1128624000,-9.896232939569792,120.18766342395816,-599.8123365760418
1134622000,-9.873661554428384,118.3903304113812,-601.6096695886188
1140620000,-9.932904761103467,113.46418538181534,-606.5358146181846
1146618000,-10.49861857141411,114.53137960270068,-605.4686203972993
1152616000,-10.217203578215123,115.15095359743195,-604.8490464025681
1158614000,-9.362992760359516,110.97481414867572,-609.0251858513243
1164612000,-11.145222304503434,112.47670795629577,-607.5232920437043
1170610000,-10.045983779050335,102.72167739590047,-617.2783226040996
1176608000,-11.169423113517034,104.26445305183226,-615.7355469481678
1182606000,-10.421446096989754,103.3009347331215,-616.6990652668785
1188604000,-10.883963211488823,99.7726944717843,-620.2273055282157
1194602000,-10.454034444648801,92.68482962813503,-627.315170371865
1200600000,-10.667331919689502,89.36538447336926,-630.6346155266308
1206598000,-11.13171171835612,90.89823988897429,-629.1017601110257
1212596000,-11.842288759170934,80.53902964153279,-639.4609703584672
1218594000,-10.267292404956368,78.52894217268594,-641.4710578273141
1224592000,-10.74262358640609,74.87720686163233,-645.1227931383677
1230590000,-11.724441881188985,77.05892172281953,-642.9410782771805
1236588000,-11.499127312038473,76.62736536111127,-643.3726346388887
1242586000,-10.562525988878821,68.67386826387198,-651.326131736128
1248584000,-10.233189735923752,69.99992553886155,-650.0000744611384
1254582000,-10.23558927249539,62.76574643947804,-657.234253560522
1260580000,-11.08635117649596,61.290698787480245,-658.7093012125198
1266578000,-10.978277970386632,59.236720342480396,-660.7632796575197
1272576000,-9.935743432959383,59.94512134215843,-660.0548786578415
1278574000,-10.70837100762818,55.467124030732215,-664.5328759692678
1284572000,-9.994680054551964,57.92924674430597,-662.0707532556941
1290570000,-11.244337235955932,55.65383297464125,-664.3461670253588
1296568000,-10.56735413712222,58.00251189294691,-661.9974881070531
1302566000,-11.089624576775742,48.36954003180992,-671.63045996819
1308564000,-11.079935586126853,54.85433780419761,-665.1456621958024
1314562000,-10.98602098972098,50.29511149249231,-669.7048885075077
1320560000,-11.712489962740873,52.65469776087961,-667.3453022391204
1326558000,-12.301121028599283,46.875440886199,-673.124559113801
1332556000,-12.550200522133192,49.942331286418295,-670.0576687135817
1338554000,-12.166864134067765,46.368136895978566,-673.6318631040215
1344552000,-11.63828683850852,36.21646484647787,-683.7835351535222
1350550000,-12.328760823354399,41.76167498742414,-678.2383250125758
1356548000,-12.37970149704304,31.771709530201758,-688.2282904697983
1362546000,-13.341687351837596,35.90684786250273,-684.0931521374973
1368544000,-12.158437888250237,29.19583945478951,-690.8041605452105
1374542000,-13.29855976619135,31.002465694371956,-688.997534305628
1380540000,-12.552066294131397,31.77361953090257,-688.2263804690974
1386538000,-12.903143446733745,24.261313086546643,-695.7386869134533
1392536000,-12.326327676918382,21.603421674772296,-698.3965783252277
1398534000,-13.254459936227974,26.35911084259661,-693.6408891574034
1404532000,-13.083571575742303,27.6052906513067,-692.3947093486933
1410530000,-13.813449597477618,21.64923000843039,-698.3507699915696
1416528000,-12.552471679219623,29.194668458169165,-690.8053315418308
1422526000,-12.613920023983983,15.670406543602624,-704.3295934563973
1428524000,-13.625695482450638,16.46123008811162,-703.5387699118884
1434522000,-14.158858084983718,18.40176179852031,-701.5982382014797
1440520000,-13.250025569008404,18.342328457631304,-701.6576715423687
1446518000,-13.254194690128017,14.480661560718385,-705.5193384392816
1452516000,-14.00082654622963,19.705462503093287,-700.2945374969067
1458514000,-14.09004782100171,11.808672186615256,-708.1913278133848
1464512000,-14.506130242221252,7.584225721513307,-712.4157742784867
1470510000,-16.076562223341377,14.460064158831713,-705.5399358411682
1476508000,-13.729687445207016,5.864659121130278,-714.1353408788697
1482506000,-15.225211353395096,10.993918370734917,-709.006081629265
1488504000,-13.817251252565665,10.711687614875098,-709.2883123851249
1494502000,-16.17586617095581,4.103340722428667,-715.8966592775713
1500500000,-14.25913041944357,5.101756943659516,-714.8982430563404
1506498000,-15.518535757856192,7.753962985113791,-712.2460370148862
1512496000,-13.99905412139402,6.8781024902650065,-713.121897509735
1518494000,-14.821522224098686,8.20512329438177,-711.7948767056182
1524492000,-14.795829434725604,5.550471860786973,-714.449528139213
1530490000,-14.716004554602797,-3.5233417477543796,-723.5233417477543
1536488000,-15.070966341939137,-3.8868479133924265,-723.8868479133924
1542486000,-15.873603138581018,2.9804660607299085,-717.0195339392701
1548484000,-14.352077382830448,-11.635265994743724,-731.6352659947437
1554482000,-15.774366663384576,3.337881000524041,-716.662118999476
1560480000,-16.492831039516105,-8.148276095834818,-728.1482760958348
1566478000,-15.561369728870584,-3.088742985906773,-723.0887429859067
1572476000,-15.450735929571572,-10.39695493521371,-730.3969549352137
1578474000,-15.49549166056346,3.1828570656395287,-716.8171429343605
1584472000,-16.47742141801889,-10.544731696599246,-730.5447316965992
1590470000,-16.642605405057136,-0.3445774837458798,-720.3445774837459
1596468000,-15.595902687219798,-12.174380477046371,-732.1743804770464
1602466000,-16.986480650572013,1.315261009421217,-718.6847389905788
1608464000,-15.975180497116385,-13.459119071747232,-733.4591190717472
1614462000,-15.582836467907127,1.0481326584297004,-718.9518673415703
1620460000,-14.170932234440873,-19.899822791640464,-739.8998227916404
1626458000,-15.722136191058258,-4.202832338341252,-724.2028323383413
1632456000,-15.731594019900212,-19.818375628731456,-739.8183756287315
1638454000,-17.229212066029437,-5.12737162385289,-725.1273716238529
1644452000,-18.95767218038752,-17.798533917636853,-737.7985339176369
1650450000,-17.011946054144047,-14.79374700960717,-734.7937470096072
1656448000,-19.023585560506536,-13.138115996205654,-733.1381159962057
1662446000,-15.597588963236607,-8.174768494178245,-728.1747684941782
1668444000,-18.494804095971315,-17.21698937306786,-737.2169893730679
1674442000,-17.64476243493844,-29.1533963346901,-749.1533963346901
1680440000,-18.104180779759297,-14.214134220763107,-734.2141342207631
1686438000,-16.018128554002292,-23.0323567741602,-743.0323567741602
1692436000,-21.037637987218346,-17.697316784931083,-737.6973167849311
1698434000,-15.844039073156914,-23.159562398168482,-743.1595623981685
1704432000,-18.46742860531062,-36.40298782112976,-756.4029878211297
1710430000,-16.17405705706763,-17.70100182550247,-737.7010018255024
1716428000,-18.721952523243495,-42.0946153826034,-762.0946153826034
1722426000,-13.973350841500142,-21.007522887543697,-741.0075228875437
1728424000,-17.789651057718295,-41.044004876698956,-761.044004876699
1734422000,-15.980680365565147,-20.48878959443587,-740.4887895944358
1740420000,-17.27860935265511,-48.91685378525937,-768.9168537852594
1746418000,-16.8801556686996,-16.26053643549291,-736.2605364354929
1752416000,-16.451437697698182,-43.700207187777366,-763.7002071877773
1758414000,-17.346606085364478,-23.56343389936124,-743.5634338993613
1764412000,-18.30769411250562,-42.67356987572867,-762.6735698757286
1770410000,-16.07745337891871,-51.80388346628378,-771.8038834662838
1776408000,-15.58333185097657,-52.49092434393142,-772.4909243439314
1782406000,-16.419943578922787,-50.998561929827225,-770.9985619298272
1788404000,-16.333656371675307,-48.55022385395113,-768.5502238539511
1794402000,-19.02944103353011,-40.777100765614605,-760.7771007656146
1800400000,-18.591576902662435,-46.316590283350436,-766.3165902833505
1806398000,-16.171206177144278,-57.22300153191439,-777.2230015319144
1812396000,-20.75764927944689,-51.52304497798235,-771.5230449779824
1818394000,-16.619196783642806,-52.09976522717465,-772.0997652271747
1824392000,-17.239098821535805,-62.34353252535265,-782.3435325253527
1830390000,-18.112105814011667,-72.93974528771268,-792.9397452877126
1836388000,-19.08433018294317,-75.75657080614745,-795.7565708061475
1842386000,-17.44048066493312,-68.00932315947601,-788.009323159476
1848384000,-19.28629723852046,-81.35043345706252,-801.3504334570625
1854382000,-17.88852991480059,-74.2252392146357,-794.2252392146357
1860380000,-18.86958827462091,-84.83087115036835,-804.8308711503684
1866378000,-18.932039045197307,-73.93604557803135,-793.9360455780313
1872376000,-18.828435145092552,-81.74143252928398,-801.741432529284
1878374000,-18.802819769478532,-86.5016218847017,-806.5016218847018
1884372000,-17.774486835382383,-103.21149216543971,-823.2114921654397
1890370000,-17.839171066682386,-95.40247270955723,-815.4024727095573
1896368000,-19.236221267900202,-101.98802321419987,-821.9880232141999
1902366000,-20.809192695380816,-114.68517273704028,-834.6851727370403
1908364000,-18.061189594693968,-108.80482288662766,-828.8048228866277
1914362000,-18.917607317357746,-118.73843593648797,-838.738435936488
1920360000,-17.99419596517558,-120.88428806454034,-840.8842880645403
1926358000,-19.212925692417546,-107.84473267558016,-827.8447326755802
1932356000,-19.578236714479548,-120.57161006962127,-840.5716100696213
1938354000,-18.622145902672514,-128.95241764318473,-848.9524176431847
1944352000,-22.684143366431076,-115.86605647637076,-835.8660564763708
1950350000,-20.40735732251115,-135.95796315798415,-855.9579631579842
1956348000,-20.35442695994956,-143.16347145213408,-863.1634714521341
1962346000,-17.7112292806458,-158.96993573209028,-878.9699357320903
1968344000,-16.395275839799414,-141.2777962876982,-861.2777962876983
1974342000,-19.036119539606812,-142.0312349342595,-862.0312349342595
1980340000,-17.25368299251498,-145.5482351553012,-865.5482351553012
1986338000,-18.96726235708615,-156.95674925386783,-876.9567492538679
1992336000,-19.660670694937487,-173.9089949869331,-893.9089949869331
1998334000,-18.79129888727821,-174.6012453432823,-894.6012453432822
2004332000,-18.770380653628184,-171.642804467832,-891.642804467832
2010330000,-17.495396108339264,-170.89828313467513,-890.8982831346751
2016328000,-19.161993421641434,-174.14126477606317,-894.1412647760632
2022326000,-17.040775374755086,165.95015896144457,-914.0498410385554
2028324000,-18.453654848990936,170.16495944811044,-909.8350405518895
2034322000,-18.140579923701953,171.39514640749,-908.60485359251
2040320000,-19.088993657439122,-174.48389661251744,-894.4838966125175
2046318000,-17.515032923283492,178.81009265808632,-901.1899073419137
2052316000,-19.224666206415833,136.84087838393657,-943.1591216160634
2058314000,-16.210408230208188,157.18072298193687,-922.8192770180631
2064312000,-17.417715362841072,138.1579891244543,-941.8420108755457
2070310000,-16.188904265034807,150.42680821217078,-929.5731917878293
2076308000,-17.065406555371297,146.61129389423616,-933.3887061057638
2082306000,-14.044389654026851,138.1624186675743,-941.8375813324258
2088304000,-14.544191965006423,137.0341417139496,-942.9658582860504
2094302000,-14.662902044849162,124.69505592229115,-955.3049440777088
2100300000,-15.545741732912381,133.13712318698492,-946.8628768130151
2106298000,-16.35556372940528,128.7330101398445,-951.2669898601555
2112296000,-15.615518734780823,130.5367024961969,-949.4632975038031
2118294000,-13.118921766085634,115.5292535058669,-964.4707464941331
2124292000,-15.640708206603243,114.26742170345486,-965.7325782965452
2130290000,-14.57996815969693,130.58140680475753,-949.4185931952425
2136288000,-14.07324409013372,110.83233559390115,-969.1676644060989
2142286000,-13.733283377183165,114.89610169772543,-965.1038983022746
2148284000,-15.625218832015218,105.21176339019189,-974.7882366098081
2154282000,-12.513555369589092,107.5791796098757,-972.4208203901243
2160280000,-14.448489097097475,99.1417798716903,-980.8582201283097
2166278000,-13.943337001432033,94.5529679987232,-985.4470320012767
2172276000,-12.2394192486189,84.56746522179566,-995.4325347782044
2178274000,-12.039921858537376,86.68055616505987,-993.3194438349401
2184272000,-12.858542197500269,85.17819061043822,-994.8218093895617
2190270000,-11.567240267175373,86.34828419804248,-993.6517158019575
2196268000,-11.484912099782553,80.08809366163355,-999.9119063383664
2202266000,-12.735368611396506,70.22097046521549,-1009.7790295347845
2208264000,-12.094511164849537,70.29279332221205,-1009.707206677788
2214262000,-12.15308423108299,80.76897701750303,-999.2310229824969
2220260000,-11.938555004113507,70.43022685939941,-1009.5697731406005
2226258000,-11.037560585840282,60.36234255288653,-1019.6376574471135
2232256000,-10.612918564675285,63.41589522107062,-1016.5841047789294
2238254000,-12.084931446230716,79.52421961444118,-1000.4757803855588
2244252000,-9.641209796745322,62.88697220490146,-1017.1130277950986
2250250000,-11.519755549144426,51.44745618800249,-1028.5525438119976
2256248000,-10.028704128738434,56.21843191924588,-1023.7815680807541
2262246000,-10.71456042139002,50.672074455603045,-1029.327925544397
2268244000,-11.475113346443198,44.65447629650417,-1035.345523703496
2274242000,-11.578464903883708,40.77373526525747,-1039.2262647347425
2280240000,-10.83574081948762,46.22391969000383,-1033.7760803099961
2286238000,-11.094922958087722,33.03044948845671,-1046.9695505115433
2292236000,-12.142241421584668,42.46920496968471,-1037.5307950303154
2298234000,-9.758977437334341,36.84182788160753,-1043.1581721183925
2304232000,-9.802473082609103,35.55668093972659,-1044.4433190602733
2310230000,-9.64192209405361,24.255902763229262,-1055.7440972367708
2316228000,-9.80605867696971,30.9076694951662,-1049.0923305048339
2322226000,-8.183592995162387,21.153340950818922,-1058.846659049181
2328224000,-9.964695975671669,29.089213619377016,-1050.910786380623
2334222000,-9.413517552182583,20.118224205800814,-1059.8817757941993
2340220000,-10.63143057206532,17.69996848404185,-1062.3000315159582
2346218000,-8.86022033658308,14.763956736698317,-1065.2360432633018
2352216000,-11.240099949671286,8.369112462456142,-1071.630887537544
2358214000,-9.31055630477647,14.170847054948506,-1065.8291529450514
2364212000,-9.944391199215715,-1.0004015911038808,-1081.0004015911038
2370210000,-9.163091204031103,3.0831341087526725,-1076.9168658912474
2376208000,-11.057379379491206,3.625586803436461,-1076.3744131965636
2382206000,-11.285279940004555,-4.011277768739139,-1084.011277768739
2388204000,-9.633525718787064,-4.190265453024778,-1084.1902654530247
2394202000,-9.523363140506167,-14.214761761637021,-1094.214761761637
2400200000,-9.427116247017334,-9.499228885234155,-1089.499228885234
2406198000,-9.918422698816283,-20.966716236528278,-1100.9667162365283
2412196000,-8.649162305937475,-24.923764465674342,-1104.9237644656744
2418194000,-7.939047273223131,-27.92843675786363,-1107.9284367578637
2424192000,-10.400103745050783,-31.84110582985695,-1111.841105829857
2430190000,-9.046552150718288,-32.58605478458654,-1112.5860547845866
2436188000,-8.532035307847046,-27.571054491923537,-1107.5710544919236
