Input time stamp C1 (s),Input Angular Position C1 (rad),Output time stamp C1 (s),Output Angular Position C1 (rad),,Input time stamp C2 (s) ,Input Angular Position C2 (rad),Output time stamp C2 (s),Output Angular Position C2 (rad),,Input time stamp C3 (s) ,Input Angular Position C3 (rad),Output time stamp C3 (s),Output Angular Position C3 (rad)
2.786,6.2832,2.786,6.34462,,2.786,6.2832,2.786,6.34462,,2.786,17.86,2.786,17.3373
2.788,6.2832,2.788,6.34462,,2.788,6.2832,2.788,6.34462,,2.788,17.88,2.788,17.3557
2.79,6.2832,2.79,6.34462,,2.79,6.2832,2.79,6.34462,,2.79,17.9,2.79,17.3772
2.792,6.2832,2.792,6.34462,,2.792,6.2832,2.792,6.34462,,2.792,17.92,2.792,17.3956
2.794,6.2832,2.794,6.34462,,2.794,6.2832,2.794,6.34462,,2.794,17.94,2.794,17.414
2.796,6.2832,2.796,6.34462,,2.796,6.2832,2.796,6.34462,,2.796,17.96,2.796,17.4354
2.798,6.2832,2.798,6.34462,,2.798,6.2832,2.798,6.34462,,2.798,17.98,2.798,17.4539
2.8,6.2832,2.8,6.34462,,2.8,6.2832,2.8,6.34462,,2.8,18,2.8,17.4723
2.802,6.2832,2.802,6.34462,,2.802,6.2832,2.802,6.34462,,2.802,18.02,2.802,17.4937
2.804,6.2832,2.804,6.34462,,2.804,6.2832,2.804,6.34462,,2.804,18.04,2.804,17.5121
2.806,6.2832,2.806,6.34462,,2.806,6.2832,2.806,6.34462,,2.806,18.06,2.806,17.5336
2.808,6.2832,2.808,6.34462,,2.808,6.2832,2.808,6.34462,,2.808,18.08,2.808,17.552
2.81,6.2832,2.81,6.34462,,2.81,6.2832,2.81,6.34462,,2.81,18.1,2.81,17.5704
2.812,6.2832,2.812,6.34462,,2.812,6.2832,2.812,6.34462,,2.812,18.12,2.812,17.5919
2.814,6.2832,2.814,6.34462,,2.814,6.2832,2.814,6.34462,,2.814,18.14,2.814,17.6103
2.816,6.2832,2.816,6.34462,,2.816,6.2832,2.816,6.34462,,2.816,18.16,2.816,17.6318
2.818,6.2832,2.818,6.34462,,2.818,6.2832,2.818,6.34462,,2.818,18.18,2.818,17.6502
2.82,6.2832,2.82,6.34462,,2.82,6.2832,2.82,6.34462,,2.82,18.2,2.82,17.6717
2.822,6.2832,2.822,6.34462,,2.822,6.2832,2.822,6.34462,,2.822,18.22,2.822,17.6901
2.824,6.2832,2.824,6.34462,,2.824,6.2832,2.824,6.34462,,2.824,18.24,2.824,17.7116
2.826,6.2832,2.826,6.34462,,2.826,6.2832,2.826,6.34462,,2.826,18.26,2.826,17.73
2.828,6.2832,2.828,6.34462,,2.828,6.2832,2.828,6.34462,,2.828,18.28,2.828,17.7514
2.83,6.2832,2.83,6.34462,,2.83,6.2832,2.83,6.34462,,2.83,18.3,2.83,17.7699
2.832,6.2832,2.832,6.34462,,2.832,6.2832,2.832,6.34462,,2.832,18.32,2.832,17.7913
2.834,6.2832,2.834,6.34462,,2.834,6.2832,2.834,6.34462,,2.834,18.34,2.834,17.8097
2.836,6.2832,2.836,6.34462,,2.836,6.2832,2.836,6.34462,,2.836,18.36,2.836,17.8312
2.838,6.2832,2.838,6.34462,,2.838,6.2832,2.838,6.34462,,2.838,18.38,2.838,17.8496
2.84,6.2832,2.84,6.34462,,2.84,6.2832,2.84,6.34462,,2.84,18.4,2.84,17.8711
2.842,6.2832,2.842,6.34462,,2.842,6.2832,2.842,6.34462,,2.842,18.42,2.842,17.8926
2.844,6.2832,2.844,6.34462,,2.844,6.2832,2.844,6.34462,,2.844,18.44,2.844,17.911
2.846,6.2832,2.846,6.34462,,2.846,6.2832,2.846,6.34462,,2.846,18.46,2.846,17.9325
2.848,6.2832,2.848,6.34462,,2.848,6.2832,2.848,6.34462,,2.848,18.48,2.848,17.9509
2.85,6.2832,2.85,6.34462,,2.85,6.2832,2.85,6.34462,,2.85,18.5,2.85,17.9723
2.852,6.2832,2.852,6.34462,,2.852,6.2832,2.852,6.34462,,2.852,18.52,2.852,17.9938
2.854,6.2832,2.854,6.34462,,2.854,6.2832,2.854,6.34462,,2.854,18.54,2.854,18.0122
2.856,6.2832,2.856,6.34462,,2.856,6.2832,2.856,6.34462,,2.856,18.56,2.856,18.0337
2.858,6.2832,2.858,6.34462,,2.858,6.2832,2.858,6.34462,,2.858,18.58,2.858,18.0521
